dataelementUID,period,orgUnitUID,categoryOptionComboUID,ImplementingMechanismUID,dataValue,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,2,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,82,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,508,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,500,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,308,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,83,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,19,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,2,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,82,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,508,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,500,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,308,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,83,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,19,,
KUEhvLf3slZ,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
dmATsIE4fMR,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
dmATsIE4fMR,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
dmATsIE4fMR,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
dmATsIE4fMR,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
dmATsIE4fMR,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,7,,
dmATsIE4fMR,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,71,,
dmATsIE4fMR,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,106,,
dmATsIE4fMR,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,105,,
dmATsIE4fMR,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,40,,
dmATsIE4fMR,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,5,,
dmATsIE4fMR,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,29,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,189,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,106,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,86,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,18,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,3,,
QMmVaKoRLx1,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,29,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,189,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,106,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,86,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,18,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,3,,
yiqKwz8F3hb,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,1,,
BVLdraqzJEb,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,0,,
BVLdraqzJEb,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,7,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,71,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,106,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,106,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,40,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,5,,
HAmfAXZWRyU,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
AIyJ3MgbgA3,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,242,,
tqVwpWq51Pa,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,242,,
NbT3FrJlJJy,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,19,,
eMABCaKMFGc,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,185,,
q6aAXIlNLYx,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,38,,
tBRNuDKuSYV,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,37,,
KWKGzzL61nM,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,0,,
KqqD1raY9PG,201809,UZlFjPJGpjz,HllvX50cXC0,VRVkk5IJ5H0,0,,
